path,variant,seed_label,log_index,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,17,0.3024,0.3815,8.83e-05,0.2862,108300.0,0.9279,0.7436
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,18,0.3726,0.385,8.674e-05,0.3339,114600.0,0.9162,0.7873
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,19,0.4019,0.6403,8.51e-05,0.3283,121100.0,0.9192,0.8311
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,20,0.2075,0.4436,8.339e-05,0.2352,127400.0,0.9434,0.8748
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,21,0.3243,0.3655,8.159e-05,0.2755,133700.0,0.9317,0.9185
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,22,0.4494,0.7552,7.973e-05,0.3645,140200.0,0.917,0.9623
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,23,0.3371,0.3399,7.78e-05,0.2899,146300.0,0.926,1.004
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,24,0.3477,0.5758,7.581e-05,0.3456,152700.0,0.9194,1.048
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,25,0.2289,0.5424,7.376e-05,0.2299,159000.0,0.948,1.092
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,26,0.2377,0.4729,7.166e-05,0.2419,165400.0,0.9315,1.136
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,27,0.2527,0.6313,6.951e-05,0.2517,171700.0,0.9318,1.179
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,28,0.3338,0.4748,6.732e-05,0.276,178200.0,0.9266,1.223
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,29,0.2598,0.6469,6.509e-05,0.2725,184500.0,0.932,1.267
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,30,0.2554,0.7945,6.283e-05,0.2478,190900.0,0.929,1.311
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,31,0.2781,0.9567,6.053e-05,0.2429,197200.0,0.9332,1.354
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,32,0.26,0.7175,5.822e-05,0.2543,203600.0,0.9348,1.398
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,33,0.3041,0.6077,5.588e-05,0.3085,209900.0,0.9284,1.442
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,34,0.3,0.2562,5.353e-05,0.2693,216300.0,0.931,1.486
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,35,0.2898,0.2716,5.118e-05,0.2806,222700.0,0.9342,1.529
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,36,0.2501,0.8715,4.882e-05,0.2446,228900.0,0.9392,1.573
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,37,0.3093,0.7702,4.647e-05,0.2707,235300.0,0.9271,1.617
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,38,0.2604,0.8378,4.412e-05,0.2441,241900.0,0.9301,1.66
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,39,0.2825,0.5333,4.178e-05,0.2674,248200.0,0.9295,1.704
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,40,0.356,0.8145,3.947e-05,0.3433,254600.0,0.9173,1.748
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,41,0.3181,0.675,3.717e-05,0.3059,261000.0,0.924,1.792
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,42,0.387,1.414,3.491e-05,0.3135,267500.0,0.9129,1.835
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,43,0.2449,0.5313,3.268e-05,0.2529,273800.0,0.9331,1.879
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,44,0.3256,0.444,3.049e-05,0.2925,280200.0,0.9337,1.923
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,45,0.2602,0.4341,2.834e-05,0.2687,286500.0,0.9326,1.967
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,46,0.2426,0.3089,2.624e-05,0.246,292500.0,0.9323,2.009
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,47,0.2663,0.2912,2.419e-05,0.2548,299000.0,0.938,2.052
finetune/logs/run_20260729_191301/B_facts.train.log,B_facts,unsuffixed,48,0.2291,0.9763,2.22e-05,0.248,305400.0,0.9434,2.096
